<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.02.16	00:00:18.843	1.96514	1.97078			6
2026.02.16	00:00:30.512	1.96508	1.97079			6
2026.02.16	00:00:41.140	1.96511	1.97088			6
2026.02.16	00:01:09.911	1.96197	1.97819			6
2026.02.16	00:01:52.614	1.96486	1.97530			6
2026.02.16	00:01:59.039	1.96417	1.97544			6
2026.02.16	00:02:09.171	1.96605	1.97356			6
2026.02.16	00:03:13.095	1.96612	1.97327			6
2026.02.16	00:03:53.019	1.96609	1.97298			6
2026.02.16	00:04:22.709	1.96465	1.97366			6
2026.02.16	00:04:24.592	1.96459	1.97363			6
2026.02.16	00:04:52.017	1.96674	1.97297			6
2026.02.16	00:04:54.281	1.96626	1.97278			6
2026.02.16	00:05:02.922	1.96626				2
2026.02.16	00:05:07.041	1.96573	1.97404			6
2026.02.16	00:06:46.928	1.96724	1.97024			6
2026.02.16	00:06:47.402	1.96736	1.97036			6
2026.02.16	00:06:47.948	1.96730	1.97030			6
2026.02.16	00:06:48.934	1.96736	1.97036			6
2026.02.16	00:06:49.439	1.96730	1.97030			6
2026.02.16	00:06:49.958	1.96724	1.97024			6
2026.02.16	00:06:50.427	1.96736	1.97036			6
2026.02.16	00:06:50.957	1.96730	1.97030			6
2026.02.16	00:07:30.088	1.96733	1.97033			6
2026.02.16	00:07:30.561	1.96730	1.97030			6
2026.02.16	00:07:31.099	1.96733	1.97033			6
2026.02.16	00:07:31.566	1.96730	1.97030			6
2026.02.16	00:07:32.098	1.96734	1.97034			6
2026.02.16	00:07:32.578	1.96730	1.97030			6
2026.02.16	00:07:33.555	1.96734	1.97034			6
2026.02.16	00:07:34.086	1.96730	1.97030			6
2026.02.16	00:08:13.720	1.96735	1.97035			6
2026.02.16	00:10:00.920	1.96773	1.97073			6
2026.02.16	00:10:04.163	1.96774	1.97074			6
2026.02.16	00:10:06.154	1.96773	1.97073			6
2026.02.16	00:10:12.633	1.96774	1.97074			6
2026.02.16	00:10:13.132	1.96773	1.97073			6
2026.02.16	00:10:14.352	1.96772	1.97072			6
2026.02.16	00:10:15.353	1.96773	1.97073			6
2026.02.16	00:10:17.434	1.96772	1.97072			6
2026.02.16	00:10:19.624	1.96773	1.97073			6
2026.02.16	00:10:19.773	1.96774	1.97074			6
2026.02.16	00:10:21.303	1.96773	1.97073			6
2026.02.16	00:10:23.028	1.96775	1.97075			6
2026.02.16	00:10:25.133	1.96774	1.97074			6
2026.02.16	00:10:27.101	1.96773	1.97073			6
2026.02.16	00:10:35.945	1.96774	1.97074			6
2026.02.16	00:10:49.358	1.96684	1.96884			6
2026.02.16	00:10:49.570	1.96686	1.96886			6
2026.02.16	00:10:49.780	1.96688	1.96888			6
2026.02.16	00:10:50.510		1.96859			4
2026.02.16	00:10:50.570	1.96662				2
2026.02.16	00:10:50.779	1.96660				2
2026.02.16	00:10:51.783	1.96654	1.96854			6
2026.02.16	00:10:53.371	1.96657	1.96857			6
2026.02.16	00:10:54.768	1.96656	1.96856			6
2026.02.16	00:10:55.194	1.96642	1.96842			6
2026.02.16	00:10:57.406	1.96674	1.96871			6
2026.02.16	00:10:57.967		1.96869			4
2026.02.16	00:10:58.114		1.96864			4
2026.02.16	00:10:58.205	1.96670				2
2026.02.16	00:10:58.806	1.96640	1.96840			6
2026.02.16	00:10:59.008	1.96642	1.96842			6
2026.02.16	00:11:00.597	1.96640	1.96840			6
2026.02.16	00:11:03.030	1.96622	1.96822			6
2026.02.16	00:11:03.209	1.96668	1.96865			6
2026.02.16	00:11:04.123		1.96866			4
2026.02.16	00:11:04.610	1.96672				2
2026.02.16	00:11:05.318		1.96867			4
2026.02.16	00:11:05.748		1.96872			4
2026.02.16	00:11:07.732		1.96870			4
2026.02.16	00:11:07.822	1.96668	1.96868			6
2026.02.16	00:11:10.219	1.96670	1.96870			6
2026.02.16	00:11:11.655	1.96666	1.96866			6
2026.02.16	00:11:12.255	1.96668	1.96868			6
2026.02.16	00:11:16.062	1.96672	1.96872			6
2026.02.16	00:11:16.517		1.96871			4
2026.02.16	00:11:17.330		1.96872			4
2026.02.16	00:11:17.876	1.96670	1.96870			6
2026.02.16	00:11:18.053	1.96672	1.96872			6
2026.02.16	00:11:18.221		1.96871			4
2026.02.16	00:11:18.252	1.96670	1.96870			6
2026.02.16	00:11:18.642	1.96672	1.96871			6
2026.02.16	00:11:20.691	1.96670	1.96870			6
2026.02.16	00:11:23.470	1.96668	1.96868			6
2026.02.16	00:11:24.281	1.96666	1.96866			6
2026.02.16	00:11:28.113	1.96662	1.96862			6
2026.02.16	00:11:28.507	1.96664	1.96864			6
2026.02.16	00:11:29.696	1.96662	1.96862			6
2026.02.16	00:11:30.116	1.96664	1.96864			6
2026.02.16	00:11:30.315	1.96659	1.96859			6
2026.02.16	00:11:30.515	1.96656	1.96856			6
2026.02.16	00:11:31.707	1.96654	1.96854			6
2026.02.16	00:11:33.328	1.96656	1.96856			6
2026.02.16	00:11:34.108	1.96654	1.96854			6
2026.02.16	00:11:39.327	1.96658	1.96858			6
2026.02.16	00:11:44.957	1.96660	1.96860			6
2026.02.16	00:11:45.356	1.96659	1.96859			6
2026.02.16	00:11:45.955	1.96660	1.96860			6
2026.02.16	00:11:47.143	1.96658	1.96858			6
2026.02.16	00:11:48.171	1.96656	1.96856			6
2026.02.16	00:11:50.551	1.96658	1.96858			6
2026.02.16	00:11:51.350	1.96660	1.96860			6
2026.02.16	00:11:52.171	1.96658	1.96858			6
2026.02.16	00:11:52.379	1.96660	1.96860			6
2026.02.16	00:11:53.364	1.96652	1.96852			6
2026.02.16	00:12:02.192	1.96650	1.96850			6
2026.02.16	00:12:02.603	1.96648	1.96848			6
2026.02.16	00:12:04.583	1.96644	1.96844			6
2026.02.16	00:12:06.195	1.96646	1.96846			6
2026.02.16	00:12:06.602	1.96650	1.96850			6
2026.02.16	00:12:08.233	1.96652	1.96852			6
2026.02.16	00:12:10.001	1.96648	1.96848			6
2026.02.16	00:12:10.614	1.96646	1.96846			6
2026.02.16	00:12:11.016	1.96658	1.96858			6
2026.02.16	00:12:14.220	1.96656	1.96856			6
2026.02.16	00:12:19.221		1.96847			4
2026.02.16	00:12:24.271	1.96560	1.96760			6
2026.02.16	00:12:25.056	1.96558	1.96758			6
2026.02.16	00:12:27.275	1.96560	1.96760			6
2026.02.16	00:12:28.877	1.96558	1.96758			6
2026.02.16	00:12:29.276	1.96560	1.96760			6
2026.02.16	00:12:29.897	1.96559	1.96759			6
2026.02.16	00:12:31.871	1.96560	1.96760			6
2026.02.16	00:12:32.691	1.96558	1.96758			6
2026.02.16	00:12:34.420	1.96577				2
2026.02.16	00:12:38.909	1.96644	1.96844			6
2026.02.16	00:12:42.321	1.96646	1.96846			6
2026.02.16	00:12:43.930	1.96644	1.96844			6
2026.02.16	00:12:45.752	1.96640	1.96840			6
2026.02.16	00:12:46.538	1.96644	1.96844			6
2026.02.16	00:12:47.758	1.96646	1.96846			6
2026.02.16	00:12:48.951	1.96644	1.96844			6
2026.02.16	00:12:58.787	1.96642	1.96842			6
2026.02.16	00:13:06.010	1.96644	1.96844			6
2026.02.16	00:13:08.229	1.96642	1.96842			6
2026.02.16	00:13:09.007	1.96638	1.96838			6
2026.02.16	00:13:14.235	1.96672	1.96872			6
2026.02.16	00:13:20.488	1.96588	1.96888			6
2026.02.16	00:13:23.032	1.96589	1.96889			6
2026.02.16	00:13:31.537	1.96769	1.97069			6
2026.02.16	00:13:34.571	1.96768	1.97068			6
2026.02.16	00:13:36.011	1.96769	1.97069			6
2026.02.16	00:13:41.093	1.96768	1.97068			6
2026.02.16	00:13:41.725	1.96767	1.97067			6
2026.02.16	00:13:42.845	1.96768	1.97068			6
2026.02.16	00:13:44.647	1.96767	1.97067			6
2026.02.16	00:13:49.121	1.96768	1.97068			6
2026.02.16	00:13:53.054	1.96767	1.97067			6
2026.02.16	00:13:55.131	1.96768	1.97068			6
2026.02.16	00:14:00.624	1.96767	1.97067			6
2026.02.16	00:14:05.331	1.96768	1.97068			6
2026.02.16	00:14:07.849	1.96767	1.97067			6
2026.02.16	00:14:11.972	1.96768	1.97068			6
2026.02.16	00:14:14.640	1.96767	1.97067			6
2026.02.16	00:14:16.761	1.96768	1.97068			6
2026.02.16	00:14:17.989	1.96767	1.97067			6
2026.02.16	00:14:23.911	1.96768	1.97068			6
2026.02.16	00:14:26.653	1.96767	1.97067			6
2026.02.16	00:14:37.466	1.96839	1.97139			6
2026.02.16	00:14:41.152	1.96840	1.97140			6
2026.02.16	00:14:50.752	1.96834	1.97134			6
2026.02.16	00:14:59.862	1.96835	1.97135			6
2026.02.16	00:15:01.751	1.96832	1.97132			6
2026.02.16	00:15:01.992	1.96839	1.97139			6
2026.02.16	00:15:02.596	1.96833	1.97133			6
2026.02.16	00:15:02.836	1.96836	1.97136			6
2026.02.16	00:15:02.955	1.96839	1.97139			6
2026.02.16	00:15:03.345	1.96826	1.97126			6
2026.02.16	00:15:03.436	1.96812	1.97112			6
2026.02.16	00:15:03.837	1.96811	1.97111			6
2026.02.16	00:15:03.956	1.96806	1.97106			6
2026.02.16	00:15:04.546	1.96822	1.97122			6
2026.02.16	00:15:05.740	1.96826	1.97126			6
2026.02.16	00:15:05.951	1.96811	1.97111			6
2026.02.16	00:15:07.226	1.96809	1.97109			6
2026.02.16	00:15:17.308	1.96808	1.97108			6
2026.02.16	00:15:29.320	1.96809	1.97109			6
2026.02.16	00:15:44.353	1.96700	1.97000			6
2026.02.16	00:15:51.180	1.96738	1.97038			6
2026.02.16	00:16:07.758	1.96737	1.97037			6
2026.02.16	00:17:06.623	1.96738	1.97038			6
2026.02.16	00:17:34.195	1.96717	1.97017			6
2026.02.16	00:17:39.550	1.96784	1.96984			6
2026.02.16	00:17:49.794	1.96782	1.96982			6
2026.02.16	00:17:51.387	1.96784	1.96984			6
2026.02.16	00:18:03.817	1.96782	1.96982			6
2026.02.16	00:18:07.448	1.96780	1.96980			6
2026.02.16	00:18:15.868	1.96782	1.96982			6
2026.02.16	00:18:17.683	1.96780	1.96980			6
2026.02.16	00:18:26.539	1.96778	1.96978			6
2026.02.16	00:18:29.741	1.96780	1.96980			6
2026.02.16	00:18:31.550	1.96778	1.96978			6
2026.02.16	00:18:32.963	1.96780	1.96980			6
2026.02.16	00:18:33.567	1.96778	1.96978			6
2026.02.16	00:18:40.379	1.96777	1.96977			6
2026.02.16	00:18:40.589	1.96776	1.96976			6
2026.02.16	00:18:46.627	1.96775	1.96975			6
2026.02.16	00:18:54.860	1.96776	1.96976			6
2026.02.16	00:18:57.490	1.96775	1.96975			6
2026.02.16	00:18:59.664	1.96774	1.96974			6
2026.02.16	00:19:10.319	1.96776	1.96976			6
2026.02.16	00:19:17.966	1.96774	1.96974			6
2026.02.16	00:19:22.156	1.96772	1.96972			6
2026.02.16	00:19:35.054	1.96774	1.96974			6
